[435, [182.82, 211.84, 151.23, 204.82, 164.99, 154.21, 184.05, 196.96, 150.57, 190.39, 169.74, 154.52, 179.9, 212.21, 162.25, 201.63, 162.29, 137.14, 166.05, 130.86, 159.54, 207.31, 167.54, 200.39, 156.64, 146.72, 153.41, 200.38, 170.15, 141.99, 149.35]]
[460, [178.54, 195.08, 149.47, 188.84, 149.42, 152.51, 167.83, 197.4, 151.15, 190.2, 154.15, 137.98, 180.41, 197.08, 147.51, 201.37, 146.69, 140.22, 151.4, 129.85, 158.94, 192.22, 152.18, 199.88, 157.0, 146.34, 153.05, 200.2, 155.11, 142.24, 149.53]]
[485, [173.73, 195.43, 149.24, 189.39, 149.01, 159.9, 167.66, 197.13, 151.12, 190.21, 192.58, 137.97, 165.51, 197.36, 147.23, 187.99, 146.75, 140.52, 150.62, 166.85, 144.08, 192.56, 152.93, 200.2, 157.13, 140.01, 152.7, 185.37, 154.76, 142.51, 149.4]]
[510, [164.31, 201.22, 161.36, 198.65, 161.35, 198.51, 160.28, 197.07, 156.98, 195.62, 159.02, 148.89, 165.85, 197.65, 159.98, 178.75, 238.83, 151.6, 178.63, 203.89, 157.5, 163.44, 163.84, 189.1, 164.65, 153.46, 150.73, 190.35, 167.17, 180.33, 176.0]]
[535, [164.24, 202.16, 161.57, 198.55, 161.13, 198.86, 160.48, 196.93, 157.19, 195.47, 158.61, 142.4, 165.8, 197.82, 159.82, 146.74, 238.49, 151.86, 178.93, 203.83, 157.45, 163.52, 163.98, 188.87, 164.84, 153.77, 150.44, 190.13, 166.93, 180.12, 175.69]]
[560, [157.25, 185.56, 155.54, 186.24, 228.58, 216.86, 224.75, 183.73, 133.55, 186.45, 153.45, 180.7, 167.22, 184.13, 183.14, 154.09, 152.66, 180.74, 191.59, 184.01, 156.77, 194.66, 234.26, 183.05, 230.64, 192.96, 166.28, 190.2, 142.56, 169.03, 151.17]]
[585, [143.8, 170.41, 139.05, 171.26, 212.41, 200.85, 207.96, 168.02, 148.59, 183.88, 143.4, 178.89, 166.26, 182.19, 178.2, 187.1, 156.47, 166.03, 174.46, 200.38, 156.88, 179.4, 219.01, 183.59, 215.68, 177.94, 150.8, 174.83, 206.08, 153.4, 135.74]]
[610, [136.15, 155.75, 138.55, 155.66, 196.04, 184.19, 192.72, 152.21, 145.22, 174.99, 143.59, 148.73, 166.87, 150.01, 146.12, 156.06, 144.69, 148.15, 158.25, 184.95, 135.99, 148.8, 201.38, 155.99, 183.36, 147.49, 214.74, 159.38, 191.06, 153.84, 155.2]]
[635, [141.26, 154.96, 138.33, 154.15, 196.18, 184.49, 192.83, 151.59, 138.55, 168.74, 144.07, 148.1, 167.19, 150.72, 146.02, 156.21, 141.46, 147.83, 158.45, 185.1, 136.13, 149.51, 186.37, 156.22, 183.29, 147.08, 213.2, 156.82, 190.83, 145.04, 155.35]]
[660, [140.07, 153.32, 140.33, 142.33, 181.08, 167.16, 177.42, 134.28, 170.09, 168.4, 152.19, 147.76, 174.47, 150.54, 145.59, 141.41, 142.54, 145.7, 143.33, 167.99, 135.33, 148.37, 186.69, 214.6, 183.01, 147.33, 198.49, 141.63, 173.22, 153.71, 146.21]]
[685, [166.8, 139.76, 134.38, 134.53, 165.58, 166.27, 162.52, 150.05, 156.07, 144.93, 140.65, 201.16, 142.29, 141.44, 137.32, 131.25, 151.15, 195.05, 149.3, 188.46, 148.92, 139.07, 167.27, 199.79, 159.54, 151.76, 182.29, 137.39, 159.14, 185.39, 146.16]]
