[10, [22.3, 22.5, 22.4, 22.3, 22.4, 22.3, 22.5, 22.5, 22.6, 22.3, 22.6, 22.6, 22.5, 22.4, 22.5, 22.5, 22.5, 22.4, 22.3, 22.6, 22.6, 22.4, 22.6, 22.5, 22.5, 22.6, 22.7, 22.6, 22.4, 22.7, 22.9, 22.4, 22.9, 22.8, 22.6, 22.5, 22.5, 22.4, 22.8, 22.4, 22.9, 23.0, 22.9, 22.9, 23.2, 22.4, 22.4, 22.5, 22.4, 22.6, 22.3, 22.4, 22.3, 22.4, 22.7, 22.4, 22.5, 22.4, 22.4, 22.6, 22.4, 22.4, 22.4, 22.3, 22.4, 22.4, 22.4, 22.3, 22.3, 22.3, 22.3, 22.4, 22.4, 22.4, 22.6, 22.5, 22.4, 22.3, 22.4, 22.3, 22.4, 22.3, 22.4, 22.4, 22.6, 22.4, 22.4, 22.6, 22.4, 22.8, 22.5, 22.4, 22.6, 22.4, 22.4, 22.3, 22.3, 22.5, 22.5, 22.4]]
[26, [22.3, 22.3, 22.3, 22.4, 22.5, 22.6, 22.4, 22.6, 22.5, 22.3, 22.7, 22.6, 22.5, 22.5, 22.4, 22.6, 22.6, 22.4, 22.6, 22.5, 22.5, 22.6, 22.5, 22.5, 22.6, 22.5, 22.7, 22.6, 22.4, 22.8, 22.8, 22.5, 22.8, 22.4, 22.5, 22.4, 22.4, 22.5, 22.8, 22.4, 22.9, 22.9, 23.0, 23.0, 23.2, 22.5, 22.5, 22.3, 22.4, 22.6, 22.5, 22.5, 22.4, 22.5, 22.7, 22.4, 22.4, 22.5, 22.3, 22.7, 22.3, 22.4, 22.5, 22.4, 22.7, 22.6, 22.4, 22.3, 22.5, 22.4, 22.5, 22.4, 22.4, 22.4, 22.7, 22.4, 22.4, 22.4, 22.3, 22.3, 22.5, 22.5, 22.6, 22.6, 22.4, 22.3, 22.4, 22.7, 22.5, 22.4, 22.4, 22.4, 22.4, 22.5, 22.5, 22.5, 22.5, 22.6, 22.7, 22.4]]
[42, [22.4, 22.4, 22.4, 22.4, 22.4, 22.4, 22.3, 22.4, 22.3, 22.4, 22.4, 22.7, 22.3, 22.4, 22.4, 22.3, 22.4, 22.4, 22.4, 22.4, 22.4, 22.3, 22.4, 22.5, 22.3, 22.4, 22.4, 22.4, 22.3, 22.7, 22.7, 22.8, 22.6, 22.4, 22.4, 22.4, 22.5, 22.4, 22.9, 22.5, 22.9, 22.9, 22.8, 22.9, 23.3, 22.5, 22.4, 22.3, 22.4, 22.6, 22.4, 22.4, 22.4, 22.5, 22.8, 22.4, 22.6, 22.4, 22.5, 22.6, 22.5, 22.4, 22.4, 22.4, 22.8, 22.7, 22.6, 22.4, 22.4, 22.3, 22.3, 22.4, 22.4, 22.4, 22.7, 22.4, 22.4, 22.4, 22.4, 22.4, 22.4, 22.4, 22.5, 22.5, 22.4, 22.3, 22.4, 22.6, 22.4, 22.6, 22.6, 22.5, 22.3, 22.3, 22.4, 22.3, 22.3, 22.4, 22.4, 22.4]]
[58, [22.4, 22.4, 22.4, 22.7, 22.4, 22.6, 22.5, 22.5, 22.5, 22.4, 22.4, 22.4, 22.3, 22.5, 22.6, 22.5, 22.4, 22.4, 22.3, 22.4, 22.5, 22.4, 22.4, 22.7, 22.5, 22.7, 22.7, 22.5, 22.4, 22.7, 22.8, 22.5, 22.9, 22.7, 22.4, 22.3, 22.4, 22.4, 22.8, 22.5, 22.9, 22.9, 22.9, 22.9, 23.2, 22.4, 22.4, 22.5, 22.5, 22.5, 22.4, 22.4, 22.4, 22.4, 22.8, 22.5, 22.6, 22.4, 22.4, 22.6, 22.4, 22.5, 22.5, 22.4, 22.7, 22.6, 22.6, 22.4, 22.4, 22.3, 22.4, 22.5, 22.4, 22.4, 22.4, 22.5, 22.5, 22.4, 22.4, 22.5, 22.4, 22.4, 22.5, 22.4, 22.4, 22.5, 22.4, 22.5, 22.4, 22.6, 22.5, 22.5, 22.4, 22.4, 22.4, 22.4, 22.5, 22.7, 22.5, 22.5]]
[74, [22.4, 22.3, 22.3, 22.4, 22.5, 22.6, 22.6, 22.5, 22.5, 22.5, 22.6, 22.5, 22.3, 22.3, 22.3, 22.4, 22.4, 22.4, 22.4, 22.3, 22.4, 22.4, 22.4, 22.5, 22.4, 22.5, 22.4, 22.4, 22.3, 22.4, 22.4, 22.8, 22.3, 22.4, 22.4, 22.3, 22.3, 22.4, 22.5, 22.7, 23.0, 23.0, 22.9, 22.9, 23.0, 22.4, 22.4, 22.4, 22.4, 22.4, 22.4, 22.5, 22.4, 22.6, 22.4, 22.4, 22.4, 22.6, 22.5, 22.4, 22.4, 22.5, 22.4, 22.4, 22.4, 22.5, 22.5, 22.4, 22.3, 22.4, 22.4, 22.3, 22.5, 22.4, 22.4, 22.4, 22.4, 22.7, 22.8, 22.4, 22.6, 22.4, 22.9, 22.4, 22.6, 22.5, 22.4, 22.4, 22.6, 22.5, 22.6, 22.4, 22.6, 22.4, 22.4, 22.4, 22.4, 22.4, 22.4, 22.4]]
[90, [22.4, 22.4, 22.4, 22.6, 22.5, 22.6, 22.5, 22.4, 22.5, 22.5, 22.4, 22.6, 22.5, 22.6, 22.5, 22.5, 22.5, 22.4, 22.5, 22.5, 22.5, 22.4, 22.5, 22.4, 22.4, 22.7, 22.4, 22.5, 22.4, 22.4, 22.4, 22.3, 22.6, 22.6, 22.4, 22.7, 22.4, 22.6, 22.8, 22.4, 23.0, 23.0, 23.0, 23.1, 22.9, 22.7, 22.4, 22.8, 22.5, 22.5, 22.5, 22.8, 22.5, 22.7, 22.5, 22.5, 22.5, 22.5, 22.4, 22.8, 22.7, 22.6, 22.7, 22.5, 22.3, 22.5, 22.4, 22.3, 22.3, 22.4, 22.3, 22.3, 22.3, 22.4, 22.4, 22.3, 22.4, 22.5, 22.5, 22.4, 22.3, 22.5, 22.4, 22.4, 22.5, 22.4, 22.4, 22.4, 22.4, 22.6, 22.4, 22.6, 22.4, 22.4, 22.3, 22.3, 22.3, 22.4, 22.4, 22.3]]
[106, [22.6, 22.5, 22.5, 22.7, 22.4, 22.6, 22.5, 22.5, 22.4, 22.3, 22.4, 22.4, 22.3, 22.5, 22.5, 22.5, 22.6, 22.5, 22.5, 22.6, 22.4, 22.4, 22.4, 22.6, 22.5, 22.8, 22.7, 22.6, 22.5, 22.7, 22.8, 22.4, 22.8, 22.7, 22.5, 22.4, 22.3, 22.4, 23.0, 22.5, 22.9, 22.9, 22.9, 23.0, 23.3, 22.3, 22.4, 22.5, 22.5, 22.6, 22.4, 22.4, 22.5, 22.5, 22.7, 22.4, 22.6, 22.5, 22.3, 22.6, 22.3, 22.5, 22.4, 22.4, 22.7, 22.7, 22.7, 22.5, 22.5, 22.4, 22.4, 22.4, 22.5, 22.5, 22.4, 22.4, 22.5, 22.5, 22.5, 22.4, 22.4, 22.4, 22.5, 22.4, 22.5, 22.4, 22.5, 22.4, 22.4, 22.4, 22.5, 22.4, 22.4, 22.4, 22.3, 22.3, 22.3, 22.4, 22.3, 22.3]]
[122, [22.9, 22.5, 22.5, 22.6, 22.5, 22.5, 22.5, 22.4, 22.4, 22.4, 22.4, 22.5, 22.5, 22.6, 22.6, 22.4, 22.5, 22.5, 22.4, 22.4, 22.4, 22.5, 22.5, 22.6, 22.5, 22.4, 22.4, 22.5, 22.4, 22.7, 22.4, 22.5, 22.6, 22.4, 22.4, 22.4, 22.4, 22.4, 22.7, 22.5, 23.0, 22.9, 22.8, 22.7, 22.9, 22.3, 22.4, 22.7, 22.4, 22.4, 22.4, 22.6, 22.5, 22.6, 22.4, 22.5, 22.4, 22.4, 22.5, 22.9, 22.6, 22.5, 22.6, 22.5, 22.5, 22.4, 22.4, 22.4, 22.4, 22.4, 22.5, 22.4, 22.8, 22.3, 22.4, 22.3, 22.3, 22.4, 22.4, 22.4, 22.3, 22.4, 22.4, 22.4, 22.5, 22.4, 22.4, 22.4, 22.3, 22.3, 22.3, 22.4, 22.3, 22.4, 22.3, 22.3, 22.3, 22.3, 22.4, 22.4]]
[138, [22.2, 22.3, 22.4, 22.4, 22.5, 22.3, 22.3, 22.3, 22.6, 22.4, 22.3, 22.4, 22.5, 22.5, 22.5, 22.5, 22.6, 22.5, 22.4, 22.5, 22.6, 22.4, 22.4, 22.5, 22.5, 22.5, 22.4, 22.6, 22.4, 22.7, 22.4, 22.5, 22.4, 22.6, 22.4, 22.7, 22.4, 22.4, 22.8, 22.5, 23.0, 22.9, 22.9, 22.8, 22.9, 22.3, 22.3, 22.4, 22.3, 22.3, 22.4, 22.3, 22.4, 22.3, 22.4, 22.4, 22.4, 22.4, 22.3, 22.3, 22.3, 22.4, 22.7, 22.5, 22.4, 22.5, 22.5, 22.3, 22.3, 22.4, 22.4, 22.3, 22.3, 22.4, 22.4, 22.4, 22.4, 22.4, 22.4, 22.4, 22.3, 22.5, 22.4, 22.5, 22.5, 22.4, 22.4, 22.6, 22.3, 22.4, 22.4, 22.4, 22.4, 22.3, 22.5, 22.4, 22.4, 22.4, 22.4, 22.3]]
[154, [22.3, 22.4, 22.4, 22.3, 22.5, 22.3, 22.3, 22.4, 22.6, 22.4, 22.3, 22.5, 22.5, 22.5, 22.5, 22.4, 22.6, 22.6, 22.4, 22.4, 22.4, 22.5, 22.5, 22.5, 22.5, 22.6, 22.5, 22.5, 22.5, 22.6, 22.5, 22.6, 22.6, 22.6, 22.5, 22.7, 22.5, 22.6, 22.8, 22.4, 22.8, 22.8, 22.8, 22.8, 22.8, 22.4, 22.4, 22.4, 22.3, 22.3, 22.4, 22.4, 22.4, 22.3, 22.3, 22.4, 22.4, 22.4, 22.3, 22.4, 22.3, 22.4, 22.3, 22.4, 22.6, 22.4, 22.4, 22.3, 22.3, 22.4, 22.4, 22.3, 22.3, 22.4, 22.5, 22.4, 22.6, 22.4, 22.4, 22.4, 22.4, 22.5, 22.5, 22.4, 22.4, 22.4, 22.4, 22.4, 22.4, 22.6, 22.4, 22.3, 22.4, 22.4, 22.4, 22.4, 22.3, 22.4, 22.5, 22.4]]
