[10, [99.6, 99.4, 99.4, 99.4, 99.4, 99.3, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.5, 99.5, 99.5, 99.5, 99.4, 99.4, 99.5, 99.5, 99.5, 99.5, 99.4, 99.4, 99.7, 99.4, 99.5, 99.6, 99.4, 99.4, 99.5, 99.4, 99.5, 101.0, 99.9, 99.9, 101.0, 102.0, 99.6, 101.0, 99.6, 101.0, 99.7, 101.0, 99.6, 99.7, 99.6, 99.5, 99.7, 99.4, 99.9, 99.6, 99.8, 99.8, 99.7, 99.5, 99.6, 99.6, 99.5, 99.5, 99.4, 99.5, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.6, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.7, 99.8, 99.5, 99.5, 99.6, 99.5, 99.5, 99.6, 102.0]]
[26, [99.5, 99.4, 99.5, 99.6, 99.7, 99.4, 99.4, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.5, 99.6, 99.5, 99.4, 99.5, 99.4, 99.5, 99.5, 99.4, 99.4, 99.4, 99.4, 99.5, 99.6, 99.4, 99.4, 99.4, 99.4, 99.5, 99.5, 99.5, 99.7, 101.0, 99.9, 100.0, 101.0, 102.0, 99.8, 101.0, 99.6, 101.0, 99.7, 101.0, 99.6, 99.4, 99.5, 99.6, 99.6, 99.5, 99.9, 99.5, 99.4, 99.7, 99.5, 99.4, 99.5, 99.5, 99.4, 99.4, 99.4, 99.5, 99.4, 99.7, 99.5, 99.6, 99.5, 99.6, 99.5, 99.4, 99.4, 99.5, 99.4, 99.4, 99.7, 99.4, 99.6, 99.7, 99.6, 99.9, 99.4, 99.6, 99.7, 99.5, 99.4, 99.4, 99.9, 99.6, 99.4, 99.5, 99.6, 99.6, 99.6, 102.0]]
[42, [99.5, 99.6, 99.4, 99.5, 99.7, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.4, 99.5, 99.6, 99.6, 99.5, 99.7, 99.6, 99.6, 99.6, 99.5, 99.6, 99.5, 99.6, 99.4, 99.5, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.7, 101.0, 101.0, 100.0, 101.0, 101.0, 99.9, 101.0, 99.7, 102.0, 99.8, 99.6, 99.5, 99.4, 99.4, 99.4, 99.4, 99.5, 99.7, 99.5, 99.4, 99.4, 99.5, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.4, 99.5, 99.5, 99.4, 99.6, 99.7, 99.6, 99.7, 99.7, 99.9, 99.5, 99.5, 99.7, 99.5, 99.5, 99.7, 100.0, 99.6, 99.5, 99.4, 99.4, 99.4, 99.4, 102.0]]
[58, [99.5, 99.4, 99.6, 99.6, 99.6, 99.6, 99.6, 99.6, 99.6, 99.7, 99.4, 99.5, 99.4, 99.6, 99.5, 99.5, 99.4, 99.4, 99.4, 99.5, 99.6, 99.6, 99.4, 99.4, 99.5, 99.5, 99.5, 99.5, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.5, 99.5, 99.5, 99.5, 99.8, 101.0, 99.9, 99.9, 101.0, 101.0, 99.6, 101.0, 99.6, 99.8, 99.7, 99.7, 99.6, 99.8, 99.5, 99.6, 99.6, 99.5, 99.9, 99.4, 99.6, 99.8, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.7, 99.6, 99.6, 99.5, 99.6, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.6, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.6, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.7, 102.0]]
[74, [99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.5, 99.4, 99.6, 99.6, 99.6, 99.6, 99.5, 99.6, 99.5, 99.6, 99.6, 99.4, 99.5, 99.6, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.5, 99.4, 99.5, 99.4, 99.5, 100.0, 101.0, 100.0, 100.0, 101.0, 102.0, 99.6, 101.0, 99.8, 102.0, 99.8, 99.7, 99.7, 99.7, 99.4, 99.5, 99.5, 99.5, 99.7, 99.4, 99.4, 99.4, 99.4, 99.5, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.4, 99.5, 99.4, 99.5, 99.5, 99.4, 99.4, 99.4, 99.6, 99.4, 99.6, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 102.0]]
[90, [99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.3, 99.4, 99.4, 99.4, 99.5, 99.4, 99.5, 99.5, 99.4, 99.4, 99.4, 99.6, 99.5, 99.5, 99.5, 99.5, 99.4, 99.7, 99.6, 99.5, 99.4, 99.5, 99.6, 99.6, 99.5, 100.0, 101.0, 99.9, 100.0, 101.0, 101.0, 99.6, 101.0, 99.6, 101.0, 99.7, 99.7, 99.6, 99.4, 99.4, 99.5, 99.5, 99.4, 99.7, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.5, 99.4, 99.4, 99.4, 99.7, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.7, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.6, 99.4, 99.4, 99.4, 99.4, 99.4, 101.0]]
[106, [99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.3, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.6, 99.5, 99.4, 99.4, 99.5, 99.4, 99.4, 99.4, 99.5, 99.4, 99.5, 99.5, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.5, 101.0, 101.0, 99.9, 101.0, 101.0, 99.7, 101.0, 99.6, 102.0, 99.8, 99.6, 99.4, 99.5, 99.8, 99.4, 99.5, 99.5, 99.6, 99.4, 99.5, 99.6, 99.4, 99.4, 99.6, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.5, 99.5, 99.5, 99.5, 99.6, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.6, 99.6, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.4, 99.5, 102.0]]
[122, [99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.3, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.5, 99.4, 99.5, 99.4, 99.5, 99.4, 99.4, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.4, 99.5, 99.6, 99.5, 100.0, 101.0, 99.6, 101.0, 101.0, 100.0, 101.0, 99.7, 99.6, 101.0, 100.0, 100.0, 99.5, 99.5, 99.5, 99.5, 99.6, 99.6, 99.8, 99.5, 99.8, 99.6, 99.5, 99.5, 99.6, 99.5, 99.6, 99.7, 99.4, 99.5, 99.4, 99.4, 99.5, 99.6, 99.5, 99.7, 99.6, 99.5, 99.5, 99.6, 99.5, 99.5, 99.7, 99.5, 99.4, 99.5, 99.5, 99.5, 99.7, 99.8, 99.5, 99.5, 99.7, 99.5, 99.5, 99.5, 99.7, 99.6, 99.6, 99.4, 99.6, 101.0]]
[138, [99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.4, 99.5, 99.4, 99.5, 99.5, 99.5, 99.4, 99.5, 99.6, 99.6, 99.5, 99.6, 99.9, 99.7, 99.6, 99.6, 99.5, 99.5, 99.4, 99.6, 99.7, 101.0, 99.9, 100.0, 101.0, 101.0, 99.6, 101.0, 99.6, 101.0, 99.7, 101.0, 99.4, 99.8, 99.5, 99.7, 99.6, 99.8, 100.0, 99.7, 99.7, 99.8, 99.6, 99.4, 99.4, 99.4, 99.4, 99.4, 99.5, 99.5, 99.6, 99.8, 99.5, 99.6, 99.6, 99.6, 99.5, 99.5, 99.6, 99.6, 99.6, 99.6, 99.7, 99.7, 99.6, 99.7, 99.7, 99.9, 99.6, 99.5, 99.6, 99.6, 99.4, 99.6, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 101.0]]
[154, [99.4, 99.4, 99.4, 99.4, 99.4, 99.3, 99.3, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.3, 99.4, 99.4, 99.6, 99.4, 99.5, 99.4, 99.4, 99.5, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.8, 99.4, 99.6, 99.4, 99.6, 101.0, 101.0, 100.0, 101.0, 101.0, 99.9, 101.0, 99.6, 102.0, 99.8, 99.6, 99.5, 99.4, 99.5, 99.4, 99.4, 99.4, 99.7, 99.5, 99.4, 99.4, 99.4, 99.6, 99.5, 99.5, 99.7, 99.6, 99.5, 99.4, 99.5, 99.7, 99.7, 99.7, 99.5, 99.6, 99.5, 99.5, 99.5, 99.6, 99.5, 99.6, 99.6, 99.4, 99.4, 99.4, 99.6, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.4, 99.9, 99.6, 99.6, 99.4, 99.4, 99.4, 99.4, 101.0]]
