[10, [134.08, 135.25, 135.13, 134.26, 135.43, 135.07, 134.59, 134.65, 134.3, 135.58, 135.32, 134.56, 135.57, 134.93, 135.26, 135.7, 135.26, 134.37, 134.66, 134.97, 135.81, 136.03, 135.93, 135.02, 136.05, 136.13, 136.2, 135.2, 135.54, 135.85, 135.33]]
[14, [137.67, 134.07, 135.3, 134.96, 134.72, 135.41, 134.31, 134.27, 134.65, 134.48, 134.83, 134.31, 135.19, 134.04, 134.33, 134.61, 134.64, 134.3, 135.28, 134.57, 135.43, 136.18, 135.2, 136.2, 135.6, 135.71, 135.37, 134.96, 135.25, 145.48, 135.53]]
[18, [137.32, 135.44, 135.07, 135.55, 135.64, 135.18, 135.1, 134.55, 135.53, 134.82, 135.32, 134.79, 134.36, 135.61, 135.71, 134.8, 135.5, 135.65, 134.89, 135.42, 135.15, 135.93, 136.53, 135.86, 135.75, 136.54, 135.17, 136.88, 135.54, 135.55, 136.44]]
[22, [134.78, 135.14, 135.14, 135.46, 134.57, 134.49, 134.48, 135.6, 134.75, 134.9, 134.8, 135.33, 134.44, 134.23, 134.14, 135.16, 134.43, 134.52, 134.36, 134.42, 135.37, 135.02, 135.44, 134.99, 135.96, 135.42, 136.39, 135.02, 135.72, 134.97, 135.54]]
[26, [134.7, 134.86, 135.67, 133.9, 134.67, 135.11, 134.94, 134.72, 134.72, 134.7, 135.43, 135.36, 135.07, 134.08, 135.15, 134.79, 134.65, 135.17, 134.44, 135.24, 135.51, 135.64, 135.68, 134.89, 135.67, 136.06, 136.43, 136.56, 135.14, 136.21, 135.43]]
[30, [134.33, 134.36, 136.31, 135.07, 135.08, 134.51, 137.27, 134.64, 134.46, 134.33, 134.38, 137.86, 134.78, 134.68, 135.47, 135.28, 134.51, 134.21, 134.8, 135.79, 135.19, 135.29, 135.18, 135.63, 135.67, 135.09, 135.28, 135.62, 135.65, 136.51, 135.45]]
[34, [134.39, 135.27, 135.31, 134.25, 135.29, 134.78, 135.09, 135.46, 134.26, 134.98, 134.99, 134.79, 135.38, 134.31, 135.74, 134.64, 134.89, 134.86, 134.89, 135.39, 134.44, 136.18, 135.84, 135.55, 135.5, 134.95, 136.53, 135.18, 135.93, 135.19, 135.29]]
[38, [134.67, 134.99, 135.74, 134.05, 135.78, 134.6, 134.47, 135.27, 135.37, 134.36, 134.58, 134.9, 134.99, 134.85, 134.62, 135.51, 134.53, 134.66, 134.84, 134.7, 134.92, 134.8, 135.73, 135.82, 134.72, 135.92, 135.07, 135.58, 135.08, 135.57, 135.34]]
[42, [133.78, 134.78, 133.74, 134.72, 134.57, 134.41, 135.13, 133.99, 134.82, 134.4, 134.42, 134.51, 134.27, 134.91, 135.16, 135.2, 134.44, 134.65, 134.31, 134.2, 134.65, 135.62, 135.87, 135.77, 135.02, 135.48, 136.17, 135.6, 135.22, 135.35, 136.67]]
[46, [134.14, 135.1, 135.36, 133.98, 135.19, 135.55, 134.69, 134.56, 134.46, 134.27, 135.03, 136.07, 134.53, 133.99, 135.66, 135.29, 134.49, 134.67, 134.84, 134.8, 134.91, 136.08, 135.56, 135.25, 136.17, 135.6, 136.87, 137.08, 134.91, 136.47, 135.54]]
[50, [137.44, 134.54, 135.32, 136.24, 135.97, 134.42, 135.58, 135.73, 136.09, 136.48, 135.9, 135.71, 135.31, 135.17, 135.13, 135.42, 135.79, 135.84, 135.74, 135.31, 135.03, 135.35, 135.22, 136.23, 135.82, 136.4, 135.58, 135.58, 136.3, 136.28, 135.96]]
[54, [149.9, 135.66, 134.51, 139.92, 135.26, 135.28, 136.38, 135.73, 136.32, 135.61, 135.56, 135.68, 136.24, 136.3, 136.34, 136.1, 135.95, 135.45, 135.65, 136.25, 135.76, 136.21, 135.95, 135.63, 136.3, 136.25, 136.18, 135.99, 135.86, 135.91, 136.27]]
[58, [134.83, 135.78, 135.62, 135.54, 135.08, 135.26, 136.04, 135.13, 136.19, 135.58, 135.61, 135.08, 135.8, 135.75, 136.56, 135.81, 135.19, 136.39, 135.9, 135.63, 135.99, 135.44, 136.07, 135.22, 136.21, 135.47, 135.22, 135.15, 136.05, 135.64, 135.33]]
[62, [134.85, 135.71, 134.98, 135.67, 136.12, 135.68, 135.95, 134.56, 135.44, 135.55, 135.01, 136.22, 136.05, 135.18, 136.4, 135.38, 135.98, 135.4, 136.32, 136.3, 136.18, 136.05, 135.9, 136.63, 135.7, 135.27, 135.19, 136.4, 136.4, 135.53, 135.75]]
[66, [135.77, 135.64, 134.97, 138.54, 135.24, 135.63, 135.0, 135.19, 135.63, 135.48, 135.97, 137.1, 134.99, 135.92, 135.34, 135.46, 136.02, 135.74, 136.03, 135.82, 136.4, 135.67, 135.5, 135.9, 135.35, 134.86, 135.45, 135.23, 135.37, 135.06, 139.58]]
[70, [135.23, 135.93, 134.84, 134.92, 136.13, 136.22, 136.03, 135.38, 136.18, 135.52, 137.6, 135.44, 135.2, 134.79, 136.06, 136.16, 134.87, 135.89, 135.26, 135.31, 136.06, 135.29, 136.07, 135.35, 135.09, 135.24, 136.2, 135.46, 135.94, 134.81, 135.13]]
[74, [134.8, 135.28, 137.38, 134.8, 135.73, 135.24, 135.45, 135.66, 134.42, 135.93, 135.76, 135.57, 135.02, 135.91, 136.07, 136.0, 134.94, 135.06, 135.34, 135.43, 134.86, 136.42, 135.56, 135.39, 136.21, 136.15, 135.55, 135.5, 135.5, 135.33, 139.62]]
[78, [134.56, 135.17, 134.9, 135.88, 135.76, 134.75, 136.43, 134.93, 135.92, 136.02, 135.98, 134.98, 135.69, 135.59, 135.9, 135.47, 136.18, 136.35, 136.06, 136.64, 135.76, 134.95, 134.75, 136.62, 136.41, 135.21, 136.07, 135.15, 136.29, 134.77, 135.34]]
[82, [134.87, 136.26, 135.19, 135.66, 135.47, 135.86, 135.64, 135.06, 135.92, 135.2, 135.38, 135.34, 135.16, 135.84, 135.46, 135.08, 135.46, 134.96, 141.82, 135.44, 135.73, 136.05, 135.35, 135.68, 136.04, 135.36, 135.15, 135.54, 135.13, 135.54, 135.2]]
